N1,N2,OPERADOR
6012276000,6012276999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012277000,6012279999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012280000,6012283999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012284000,6012284499,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012284500,6012287999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012288000,6012289999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012290000,6012291999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012292000,6012293999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012294000,6012295999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012296000,6012299999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012300000,6012321999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012322000,6012329999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012330000,6012331999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012332000,6012338999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012339000,6012339999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012340000,6012341999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012342000,6012347999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012348000,6012349999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012350000,6012355499,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012355500,6012358999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012359000,6012359999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012360000,6012360999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012361000,6012379999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012380000,6012380999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012381000,6012387999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012388000,6012389999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012390000,6012390999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012391000,6012392599,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012392600,6012392999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012393000,6012394999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012395000,6012395399,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012395400,6012399499,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012399500,6012399999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012400000,6012409999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012410000,6012420999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012421000,6012421999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012422000,6012430999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012431000,6012439999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012440000,6012449999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012450000,6012452999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012453000,6012456999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012457000,6012457999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012458000,6012460999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012461000,6012461999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012462000,6012462999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012463000,6012465999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012466000,6012467999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012468000,6012468999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012469000,6012470999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012471000,6012472999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012473000,6012473999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012474000,6012474999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012475000,6012479999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012480000,6012482999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012483000,6012483999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012484000,6012485999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012486000,6012487999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012488000,6012488999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012489000,6012489999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012490000,6012490999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012491000,6012497399,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012497400,6012499999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012500000,6012505999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012506000,6012509999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012510000,6012519999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012520000,6012523999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012524000,6012527799,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012527800,6012527999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012528000,6012528999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012529000,6012529999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012530000,6012530999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012531000,6012532999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012533000,6012533999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012534000,6012535999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012536000,6012538499,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012538500,6012539499,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012539500,6012539999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012540000,6012540999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012541000,6012541999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012542000,6012542999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012543000,6012546999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012547000,6012548499,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012548500,6012548999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012549000,6012549999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012550000,6012550999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012551000,6012552499,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012552500,6012552999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012553000,6012553999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012554000,6012556999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012557000,6012557999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012558000,6012558999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012559000,6012559999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012560000,6012569999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012570000,6012579999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012580000,6012581999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012582000,6012583999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012584000,6012585999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012586000,6012587099,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012587100,6012588999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012589000,6012594999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
